location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-30 00:39:13 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 01:07:00 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 02:02:35 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 02:42:57 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 03:31:07 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 03:51:15 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 03:57:20 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 04:16:19 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 04:16:25 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 04:40:31 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 04:54:43 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 05:14:40 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:22:28 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:29:45 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:36:26 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:48:04 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:54:48 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 05:57:42 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:01:26 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 06:03:21 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 06:07:36 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:13:23 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 06:19:32 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:24:26 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 06:26:18 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 06:34:00 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:36:01 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:44:03 +0200;3;regular;""
Münsterplatz , Ulm;2020-03-30 06:47:30 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 06:58:51 +0200;5;regular;""
Münsterplatz , Ulm;2020-03-30 07:04:42 +0200;8;regular;""
Münsterplatz , Ulm;2020-03-30 07:09:26 +0200;6;regular;""
Münsterplatz , Ulm;2020-03-30 07:14:52 +0200;3;regular;""
Münsterplatz , Ulm;2020-03-30 07:19:12 +0200;7;regular;""
Münsterplatz , Ulm;2020-03-30 07:23:20 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 07:26:12 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 07:29:29 +0200;35;regular;""
Münsterplatz , Ulm;2020-03-30 07:33:12 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 07:33:45 +0200;12;regular;""
Münsterplatz , Ulm;2020-03-30 07:38:42 +0200;16;regular;""
Münsterplatz , Ulm;2020-03-30 07:44:50 +0200;9;regular;""
Münsterplatz , Ulm;2020-03-30 07:48:57 +0200;8;regular;""
Münsterplatz , Ulm;2020-03-30 07:54:59 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 07:59:56 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 08:04:55 +0200;10;regular;""
Münsterplatz , Ulm;2020-03-30 08:09:29 +0200;15;regular;""
Münsterplatz , Ulm;2020-03-30 08:14:59 +0200;15;regular;""
Münsterplatz , Ulm;2020-03-30 08:19:43 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 08:23:53 +0200;19;regular;""
Münsterplatz , Ulm;2020-03-30 08:29:29 +0200;19;regular;""
Münsterplatz , Ulm;2020-03-30 08:32:24 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 08:34:32 +0200;12;regular;""
Münsterplatz , Ulm;2020-03-30 08:39:28 +0200;20;regular;""
Münsterplatz , Ulm;2020-03-30 08:44:52 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 08:49:12 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 08:53:58 +0200;6;regular;""
Münsterplatz , Ulm;2020-03-30 08:59:48 +0200;18;regular;""
Münsterplatz , Ulm;2020-03-30 09:03:26 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 09:04:51 +0200;20;regular;""
Münsterplatz , Ulm;2020-03-30 09:09:14 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 09:09:51 +0200;22;regular;""
Münsterplatz , Ulm;2020-03-30 09:13:31 +0200;11;regular;""
Münsterplatz , Ulm;2020-03-30 09:18:55 +0200;2;regular;""
Münsterplatz , Ulm;2020-03-30 09:19:25 +0200;16;regular;""
Münsterplatz , Ulm;2020-03-30 09:24:53 +0200;16;regular;""
Münsterplatz , Ulm;2020-03-30 09:29:53 +0200;13;regular;""
Münsterplatz , Ulm;2020-03-30 09:29:53 +0200;3;regular;""
Münsterplatz , Ulm;2020-03-30 09:34:53 +0200;31;regular;""
Münsterplatz , Ulm;2020-03-30 09:37:35 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 09:39:40 +0200;18;regular;""
Münsterplatz , Ulm;2020-03-30 09:44:59 +0200;25;regular;""
Münsterplatz , Ulm;2020-03-30 09:49:56 +0200;32;regular;""
Münsterplatz , Ulm;2020-03-30 09:51:38 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 09:54:57 +0200;19;regular;""
Münsterplatz , Ulm;2020-03-30 09:55:29 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 09:59:38 +0200;29;regular;""
Münsterplatz , Ulm;2020-03-30 10:00:44 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 10:04:30 +0200;18;regular;""
Münsterplatz , Ulm;2020-03-30 10:08:39 +0200;3;regular;""
Münsterplatz , Ulm;2020-03-30 10:09:56 +0200;30;regular;""
Münsterplatz , Ulm;2020-03-30 10:14:15 +0200;3;regular;""
Münsterplatz , Ulm;2020-03-30 10:14:43 +0200;19;regular;""
Münsterplatz , Ulm;2020-03-30 10:19:43 +0200;4;regular;""
Münsterplatz , Ulm;2020-03-30 10:19:57 +0200;28;regular;""
Münsterplatz , Ulm;2020-03-30 10:24:15 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 10:24:34 +0200;29;regular;""
Münsterplatz , Ulm;2020-03-30 10:29:12 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 10:29:50 +0200;32;regular;""
Münsterplatz , Ulm;2020-03-30 10:33:54 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 10:34:49 +0200;29;regular;""
Münsterplatz , Ulm;2020-03-30 10:36:49 +0200;1;regular;""
Münsterplatz , Ulm;2020-03-30 10:39:50 +0200;32;regular;""
