location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-16 00:04:43 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 00:05:54 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 00:15:58 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 00:20:12 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 00:29:15 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 00:33:55 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 00:37:38 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 00:41:10 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 00:47:39 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 01:00:07 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 01:21:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 03:24:38 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 03:31:03 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 03:49:22 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 04:16:30 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 04:34:48 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 04:37:26 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 04:43:06 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 04:48:13 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 04:55:52 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 05:03:52 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:23:46 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:31:05 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:39:06 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:44:56 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:48:46 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 05:54:23 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 05:56:24 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 06:04:20 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 06:14:39 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 06:19:59 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-16 06:24:58 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-16 06:29:26 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-16 06:32:50 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 06:39:26 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-16 06:42:11 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 06:49:44 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-16 06:54:48 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-16 06:58:50 +0100;11;regular;""
Münsterplatz , Ulm;2020-03-16 07:03:27 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 07:04:17 +0100;19;regular;""
Münsterplatz , Ulm;2020-03-16 07:07:40 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 07:09:12 +0100;13;regular;""
Münsterplatz , Ulm;2020-03-16 07:14:30 +0100;16;regular;""
Münsterplatz , Ulm;2020-03-16 07:19:47 +0100;27;regular;""
Münsterplatz , Ulm;2020-03-16 07:24:38 +0100;16;regular;""
Münsterplatz , Ulm;2020-03-16 07:29:45 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 07:29:46 +0100;30;regular;""
Münsterplatz , Ulm;2020-03-16 07:33:05 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 07:34:48 +0100;29;regular;""
Münsterplatz , Ulm;2020-03-16 07:39:42 +0100;39;regular;""
Münsterplatz , Ulm;2020-03-16 07:44:32 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 07:44:52 +0100;39;regular;""
Münsterplatz , Ulm;2020-03-16 07:49:56 +0100;44;regular;""
Münsterplatz , Ulm;2020-03-16 07:54:14 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 07:54:54 +0100;37;regular;""
Münsterplatz , Ulm;2020-03-16 07:59:59 +0100;36;regular;""
Münsterplatz , Ulm;2020-03-16 08:04:49 +0100;19;regular;""
Münsterplatz , Ulm;2020-03-16 08:08:37 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 08:09:49 +0100;28;regular;""
Münsterplatz , Ulm;2020-03-16 08:14:18 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 08:14:54 +0100;26;regular;""
Münsterplatz , Ulm;2020-03-16 08:19:56 +0100;35;regular;""
Münsterplatz , Ulm;2020-03-16 08:24:00 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 08:24:51 +0100;39;regular;""
Münsterplatz , Ulm;2020-03-16 08:26:10 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 08:29:57 +0100;48;regular;""
Münsterplatz , Ulm;2020-03-16 08:34:53 +0100;36;regular;""
Münsterplatz , Ulm;2020-03-16 08:35:52 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 08:39:59 +0100;27;regular;""
Münsterplatz , Ulm;2020-03-16 08:42:43 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 08:44:51 +0100;46;regular;""
Münsterplatz , Ulm;2020-03-16 08:49:16 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 08:49:59 +0100;51;regular;""
Münsterplatz , Ulm;2020-03-16 08:52:50 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 08:54:44 +0100;44;regular;""
Münsterplatz , Ulm;2020-03-16 08:59:07 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 08:59:55 +0100;62;regular;""
Münsterplatz , Ulm;2020-03-16 09:04:32 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 09:04:52 +0100;46;regular;""
Münsterplatz , Ulm;2020-03-16 09:09:02 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 09:09:51 +0100;50;regular;""
Münsterplatz , Ulm;2020-03-16 09:14:08 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 09:14:51 +0100;46;regular;""
Münsterplatz , Ulm;2020-03-16 09:19:36 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 09:19:59 +0100;42;regular;""
Münsterplatz , Ulm;2020-03-16 09:24:39 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-16 09:24:40 +0100;56;regular;""
Münsterplatz , Ulm;2020-03-16 09:28:36 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 09:29:59 +0100;51;regular;""
Münsterplatz , Ulm;2020-03-16 09:33:40 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 09:34:47 +0100;52;regular;""
Münsterplatz , Ulm;2020-03-16 09:35:30 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 09:39:50 +0100;70;regular;""
Münsterplatz , Ulm;2020-03-16 09:44:55 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 09:44:58 +0100;79;regular;""
Münsterplatz , Ulm;2020-03-16 09:49:34 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 09:49:55 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-16 09:54:47 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 09:54:59 +0100;63;regular;""
Münsterplatz , Ulm;2020-03-16 09:57:32 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 09:59:58 +0100;74;regular;""
Münsterplatz , Ulm;2020-03-16 10:02:28 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 10:04:56 +0100;67;regular;""
Münsterplatz , Ulm;2020-03-16 10:09:55 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-16 10:09:58 +0100;97;regular;""
Münsterplatz , Ulm;2020-03-16 10:12:07 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 10:14:58 +0100;60;regular;""
Münsterplatz , Ulm;2020-03-16 10:19:16 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 10:19:39 +0100;62;regular;""
Münsterplatz , Ulm;2020-03-16 10:24:54 +0100;57;regular;""
Münsterplatz , Ulm;2020-03-16 10:29:14 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 10:29:59 +0100;71;regular;""
Münsterplatz , Ulm;2020-03-16 10:38:51 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-16 10:39:52 +0100;102;regular;""
Münsterplatz , Ulm;2020-03-16 10:44:06 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 10:44:55 +0100;82;regular;""
Münsterplatz , Ulm;2020-03-16 10:45:52 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 10:49:46 +0100;73;regular;""
Münsterplatz , Ulm;2020-03-16 10:54:48 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-16 10:54:57 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-16 10:58:18 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 10:59:52 +0100;91;regular;""
Münsterplatz , Ulm;2020-03-16 11:03:31 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-16 11:04:59 +0100;61;regular;""
Münsterplatz , Ulm;2020-03-16 11:09:06 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-16 11:09:53 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-16 11:12:59 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 11:14:59 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-16 11:19:02 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-16 11:19:57 +0100;82;regular;""
Münsterplatz , Ulm;2020-03-16 11:24:54 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 11:24:58 +0100;104;regular;""
Münsterplatz , Ulm;2020-03-16 11:27:49 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 11:29:54 +0100;108;regular;""
Münsterplatz , Ulm;2020-03-16 11:32:54 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 11:34:58 +0100;109;regular;""
Münsterplatz , Ulm;2020-03-16 11:39:39 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 11:39:54 +0100;93;regular;""
Münsterplatz , Ulm;2020-03-16 11:44:53 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 11:44:58 +0100;112;regular;""
Münsterplatz , Ulm;2020-03-16 11:45:20 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 11:49:58 +0100;85;regular;""
Münsterplatz , Ulm;2020-03-16 11:52:24 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 11:54:59 +0100;109;regular;""
Münsterplatz , Ulm;2020-03-16 11:59:46 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-16 11:59:46 +0100;83;regular;""
Münsterplatz , Ulm;2020-03-16 12:03:32 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 12:04:59 +0100;122;regular;""
Münsterplatz , Ulm;2020-03-16 12:09:46 +0100;145;regular;""
Münsterplatz , Ulm;2020-03-16 12:12:50 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 12:14:56 +0100;105;regular;""
Münsterplatz , Ulm;2020-03-16 12:19:14 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-16 12:19:59 +0100;147;regular;""
Münsterplatz , Ulm;2020-03-16 12:24:39 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 12:24:54 +0100;106;regular;""
Münsterplatz , Ulm;2020-03-16 12:29:18 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 12:29:59 +0100;116;regular;""
Münsterplatz , Ulm;2020-03-16 12:33:48 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 12:34:59 +0100;113;regular;""
Münsterplatz , Ulm;2020-03-16 12:38:47 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 12:39:59 +0100;146;regular;""
Münsterplatz , Ulm;2020-03-16 12:44:50 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 12:44:58 +0100;143;regular;""
Münsterplatz , Ulm;2020-03-16 12:47:47 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 12:49:59 +0100;122;regular;""
Münsterplatz , Ulm;2020-03-16 12:52:41 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-16 12:54:51 +0100;144;regular;""
Münsterplatz , Ulm;2020-03-16 12:59:48 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 12:59:56 +0100;171;regular;""
Münsterplatz , Ulm;2020-03-16 13:03:35 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-16 13:04:59 +0100;150;regular;""
Münsterplatz , Ulm;2020-03-16 13:09:49 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-16 13:09:57 +0100;118;regular;""
Münsterplatz , Ulm;2020-03-16 13:11:36 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-16 13:14:56 +0100;116;regular;""
