location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-09 00:01:43 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 00:08:08 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 00:11:54 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 00:15:07 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-09 00:29:22 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 00:34:08 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 00:36:46 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 00:40:12 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 01:03:39 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 01:08:29 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 01:31:14 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 02:30:20 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 03:24:54 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 03:29:59 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 03:32:30 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 04:24:40 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 04:25:19 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 04:43:57 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 04:45:43 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 04:50:45 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 04:56:35 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:02:37 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-09 05:05:48 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:10:19 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 05:18:02 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:24:07 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 05:43:17 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 05:48:33 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:50:04 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:55:12 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 05:58:46 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 06:01:18 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 06:01:49 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-09 06:08:31 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 06:18:28 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 06:23:22 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 06:27:30 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-09 06:33:48 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 06:38:21 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 06:39:13 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-09 06:44:55 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-09 06:49:34 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-09 06:54:18 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-09 06:57:24 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 06:59:21 +0100;13;regular;""
Münsterplatz , Ulm;2020-03-09 07:03:53 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-09 07:07:19 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-09 07:08:15 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-09 07:13:28 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-09 07:19:43 +0100;15;regular;""
Münsterplatz , Ulm;2020-03-09 07:24:58 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-09 07:24:59 +0100;21;regular;""
