location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-23 00:14:43 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 00:37:00 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 03:05:48 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 03:23:50 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 04:19:43 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-23 04:36:07 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 04:41:26 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 05:02:44 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 05:05:02 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 05:23:52 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-23 05:45:18 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 05:53:09 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 05:58:14 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 06:09:12 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 06:14:55 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-23 06:18:23 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-23 06:19:48 +0100;19;regular;""
Münsterplatz , Ulm;2020-03-23 06:24:25 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-23 06:29:13 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-23 06:34:54 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-23 06:39:20 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-23 06:44:52 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-23 06:49:05 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-23 06:52:12 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-23 06:59:18 +0100;10;regular;""
Münsterplatz , Ulm;2020-03-23 07:04:49 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-23 07:04:51 +0100;34;regular;""
Münsterplatz , Ulm;2020-03-23 07:09:54 +0100;11;regular;""
Münsterplatz , Ulm;2020-03-23 07:14:57 +0100;12;regular;""
Münsterplatz , Ulm;2020-03-23 07:18:55 +0100;7;regular;""
