location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-02-24 00:04:32 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 00:05:46 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 00:14:42 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 00:18:11 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 00:26:23 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 00:31:38 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 00:35:31 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-24 00:54:41 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 01:13:21 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 01:30:46 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 01:37:35 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 03:34:14 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 03:51:23 +0100;5;regular;""
Münsterplatz , Ulm;2020-02-24 03:55:20 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 04:16:41 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-24 04:22:22 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 04:43:40 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 04:45:59 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 04:59:48 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 05:06:35 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 05:16:07 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 05:24:01 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 05:28:50 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 05:33:55 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 05:38:11 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 05:49:25 +0100;8;regular;""
Münsterplatz , Ulm;2020-02-24 05:50:49 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 05:54:19 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-24 05:59:39 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 06:04:28 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 06:05:48 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-24 06:19:59 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 06:24:46 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-24 06:29:12 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-24 06:34:49 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-24 06:39:06 +0100;6;regular;""
Münsterplatz , Ulm;2020-02-24 06:44:15 +0100;4;regular;""
