location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-02-17 00:01:56 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-17 00:08:37 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 00:17:02 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 00:23:57 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 00:34:54 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 00:38:47 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-17 01:18:45 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 02:53:55 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 02:58:08 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 03:49:06 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 04:16:18 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 04:18:25 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-17 04:24:05 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 04:27:54 +0100;9;regular;""
Münsterplatz , Ulm;2020-02-17 04:39:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 04:45:17 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 04:51:04 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 04:55:40 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:02:20 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:18:05 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:21:43 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:29:40 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-17 05:30:03 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:37:52 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:48:59 +0100;5;regular;""
Münsterplatz , Ulm;2020-02-17 05:54:23 +0100;5;regular;""
Münsterplatz , Ulm;2020-02-17 05:58:03 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 05:59:17 +0100;6;regular;""
Münsterplatz , Ulm;2020-02-17 06:03:58 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-17 06:09:28 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 06:14:01 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 06:18:29 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 06:24:54 +0100;7;regular;""
Münsterplatz , Ulm;2020-02-17 06:27:44 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-17 06:34:29 +0100;5;regular;""
Münsterplatz , Ulm;2020-02-17 06:39:38 +0100;6;regular;""
Münsterplatz , Ulm;2020-02-17 06:44:54 +0100;10;regular;""
Münsterplatz , Ulm;2020-02-17 06:54:58 +0100;13;regular;""
Münsterplatz , Ulm;2020-02-17 06:59:10 +0100;13;regular;""
Münsterplatz , Ulm;2020-02-17 07:04:27 +0100;12;regular;""
Münsterplatz , Ulm;2020-02-17 07:06:39 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 07:09:16 +0100;14;regular;""
Münsterplatz , Ulm;2020-02-17 07:11:14 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 07:14:55 +0100;17;regular;""
Münsterplatz , Ulm;2020-02-17 07:19:54 +0100;22;regular;""
Münsterplatz , Ulm;2020-02-17 07:24:37 +0100;23;regular;""
Münsterplatz , Ulm;2020-02-17 07:24:37 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 07:29:47 +0100;42;regular;""
Münsterplatz , Ulm;2020-02-17 07:34:55 +0100;44;regular;""
Münsterplatz , Ulm;2020-02-17 07:39:59 +0100;61;regular;""
Münsterplatz , Ulm;2020-02-17 07:44:08 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 07:44:47 +0100;23;regular;""
Münsterplatz , Ulm;2020-02-17 07:49:55 +0100;39;regular;""
Münsterplatz , Ulm;2020-02-17 07:53:52 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 07:54:29 +0100;34;regular;""
Münsterplatz , Ulm;2020-02-17 07:59:50 +0100;46;regular;""
Münsterplatz , Ulm;2020-02-17 08:04:59 +0100;13;regular;""
Münsterplatz , Ulm;2020-02-17 08:07:21 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 08:09:44 +0100;16;regular;""
Münsterplatz , Ulm;2020-02-17 08:14:53 +0100;22;regular;""
Münsterplatz , Ulm;2020-02-17 08:19:49 +0100;38;regular;""
Münsterplatz , Ulm;2020-02-17 08:20:41 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 08:24:46 +0100;27;regular;""
Münsterplatz , Ulm;2020-02-17 08:26:56 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 08:29:50 +0100;28;regular;""
Münsterplatz , Ulm;2020-02-17 08:34:34 +0100;27;regular;""
Münsterplatz , Ulm;2020-02-17 08:39:40 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 08:39:57 +0100;38;regular;""
Münsterplatz , Ulm;2020-02-17 08:40:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 08:44:56 +0100;35;regular;""
Münsterplatz , Ulm;2020-02-17 08:49:03 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 08:49:46 +0100;51;regular;""
Münsterplatz , Ulm;2020-02-17 08:54:49 +0100;45;regular;""
Münsterplatz , Ulm;2020-02-17 08:59:59 +0100;29;regular;""
Münsterplatz , Ulm;2020-02-17 09:04:59 +0100;37;regular;""
Münsterplatz , Ulm;2020-02-17 09:09:52 +0100;34;regular;""
Münsterplatz , Ulm;2020-02-17 09:14:46 +0100;40;regular;""
Münsterplatz , Ulm;2020-02-17 09:17:34 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 09:19:40 +0100;54;regular;""
Münsterplatz , Ulm;2020-02-17 09:21:15 +0100;1;regular;""
Münsterplatz , Ulm;2020-02-17 09:24:38 +0100;36;regular;""
Münsterplatz , Ulm;2020-02-17 09:29:50 +0100;4;regular;""
Münsterplatz , Ulm;2020-02-17 09:29:56 +0100;44;regular;""
Münsterplatz , Ulm;2020-02-17 09:30:42 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 09:34:59 +0100;51;regular;""
Münsterplatz , Ulm;2020-02-17 09:37:33 +0100;3;regular;""
Münsterplatz , Ulm;2020-02-17 09:39:51 +0100;39;regular;""
Münsterplatz , Ulm;2020-02-17 09:41:25 +0100;2;regular;""
Münsterplatz , Ulm;2020-02-17 09:44:47 +0100;46;regular;""
